"","lab_id_number","date_ordered","sample_name","ordered_by","notebook_page_number","srm_order_number","srm_sample_number","SRM_concat","assay","tissue","tumor_type","species","failed","notes","extra_unnamed_col1","source_file","source_sheet"
"1","DY4307","8/11/26","MAST 97 thawed","Natalie Geiger",NA,"880937","3485612","880937-3485612","OmniSTR mi-seq (new PPX)","DNA",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"2","DY4308","8/11/26","MAST 191B thawed","Natalie Geiger",NA,"880937","3485612","880937-3485612","OmniSTR mi-seq (new PPX)","DNA",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"3","DY4309","8/11/26","SKNMM tet N-MYC","Natalie Geiger",NA,"880937","3485612","880937-3485612","OmniSTR mi-seq (new PPX)","DNA",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"4","DYE 3056","03/05/20","Six3 het RNA E17-1","Dapper, Jason",NA,"186570",NA,"186570-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"5","DYE 3057","03/05/20","Six3 mut RNA E17-2","Dapper, Jason",NA,"186570",NA,"186570-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"6","DYE 3058","03/05/20","Six3 mut RNA E17-3","Dapper, Jason",NA,"186570",NA,"186570-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"7","DYE 3059","03/05/20","Six3 het RNA E17-4","Dapper, Jason",NA,"186570",NA,"186570-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"8","DYE 3060","03/05/20","Six3 WT RNA E17-5","Dapper, Jason",NA,"186570",NA,"186570-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"9","DYE 3875","8/27/20","Vsx2SE-ConsensusB wt","Honnell, Victoria","VH_2.20.49","198174","2017033","198174-2017033","RNA-seq Total Stranded","retina",NA,"mouse",NA,"Paired, 250 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"10","DYE 3876","8/27/20","Vsx2SE-ConsensusB het","Honnell, Victoria","VH_2.20.49","198174","2017034","198174-2017034","RNA-seq Total Stranded","retina",NA,"mouse",NA,"Paired, 250 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"11","DYE 3877","8/27/20","Vsx2SE-ConsensusB ko","Honnell, Victoria","VH_2.20.49","198174","2017035","198174-2017035","RNA-seq Total Stranded","retina",NA,"mouse",NA,"Paired, 250 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"12","DYE 3894","9/13/20","Vsx2SE-Consensus_1 wt","Honnell, Victoria","VH_2.20.57","199556","2017033","199556-2017033","RNA-seq Total Stranded","retina",NA,"mouse",NA,"Paired, 100 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"13","DYE 3895","9/13/20","Vsx2SE-Consensus_1 het","Honnell, Victoria","VH_2.20.57","199556","2017034","199556-2017034","RNA-seq Total Stranded","retina",NA,"mouse",NA,"Paired, 100 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"14","DYE 3896","9/13/20","Vsx2SE-Consensus_1 ko","Honnell, Victoria","VH_2.20.57","199556","2017035","199556-2017035","RNA-seq Total Stranded","retina",NA,"mouse",NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"15","DYE2476","12/3/24","10x Wildtype Mouse Retina (DYE2476)","Mellisa Clemons","MRC_1-24-73 Thunderdome","840980",NA,"840980-NA","scRNA","Retina",NA,"Mouse",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"16","DYE2477","12/3/24","PARSE Wildtype Mouse Retina (DYE2477)","Mellisa Clemons","MRC_1-24-73 Thunderdome","840978",NA,"840978-NA","scRNA","Retina",NA,"Mouse",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"17","DYE2478","12/3/24","PARSE Wildtype Mouse Retina (DYE2478)","Mellisa Clemons","MRC_1-24-73 Thunderdome","840978",NA,"840978-NA","scRNA","Retina",NA,"Mouse",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"18","DYE2484","12/5/24","MERTK K619M Clone 1D6 (1)","Madison Parks","MP 01.24.054","841128","3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"19","DYE2485","12/5/24","MERTK K619M Clone 1D6 (2)","Madison Parks","MP 01.24.054","841128","3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"20","DYE2486","12/5/24","MERTK K621I Clone 1H8 (1)","Madison Parks","MP 01.24.054","841128","3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"21","DYE2487","12/5/24","MERTK K621I Clone 1H8 (2)","Madison Parks","MP 01.24.054","841128","3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"22","DYE2488","12/5/24","MERTK L564S Clone 3F1 (1)","Madison Parks","MP 01.24.054","841128","3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"23","DYE2489","12/5/24","MERTK L564S Clone 3F1 (2)","Madison Parks","MP 01.24.054","841128","3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"24","DYE2490","12/5/24","MERTK R629W Clone 1C8 (1)","Madison Parks","MP 01.24.054","841128","3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"25","DYE2491","12/5/24","MERTK R629W Clone 1C8 (2)","Madison Parks","MP 01.24.054","841128","3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"26","DYE2492","12/5/24","MERTK K666N Clone 2E3 (1)","Madison Parks","MP 01.24.054","841128","3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"27","DYE2493","12/5/24","MERTK K666N Clone 2E3 (2)","Madison Parks","MP 01.24.054","841128","3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"28","DYE3031","02/17/20","Six3 E9.5 RNA #4 WT","Dapper, Jason",NA,"184855",NA,"184855-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"29","DYE3032","02/17/20","Six3 E9.5 RNA #11 WT","Dapper, Jason",NA,"184855",NA,"184855-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"30","DYE3033","02/17/20","Six3 E9.5 RNA #15 Het","Dapper, Jason",NA,"184855",NA,"184855-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"31","DYE3034","02/17/20","Six3 E9.5 RNA #17 Het","Dapper, Jason",NA,"184855",NA,"184855-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"32","DYE3035","02/17/20","Six3 E9.5 RNA #9 mutant","Dapper, Jason",NA,"184855",NA,"184855-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"33","DYE3036","02/17/20","Six3 E9.5 RNA #10 mutant","Dapper, Jason",NA,"184855",NA,"184855-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"34","DYE3037","02/17/20","Six3 E13 RNA #17 WT","Dapper, Jason",NA,"184855",NA,"184855-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"35","DYE3038","02/17/20","Six3 E13 RNA #21 WT","Dapper, Jason",NA,"184855",NA,"184855-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"36","DYE3039","02/17/20","Six3 E13 RNA #19 het","Dapper, Jason",NA,"184855",NA,"184855-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"37","DYE3040","02/17/20","Six3 E13 RNA #20 het","Dapper, Jason",NA,"184855",NA,"184855-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"38","DYE3041","02/17/20","Six3 E13 RNA #12 mutant","Dapper, Jason",NA,"184855",NA,"184855-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"39","DYE3042","02/17/20","Six3 E13 RNA #13 mutant","Dapper, Jason",NA,"184855",NA,"184855-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"40","DYE4277","6/24/26","H9DR_EB_IgG","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471750","877828-3471750","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
