"","lab_id_number","date_ordered","sample_name","ordered_by","notebook_page_number","srm_order_number","srm_sample_number","SRM_concat","assay","tissue","tumor_type","species","failed","notes","extra_unnamed_col1","source_file","source_sheet"
"1","DY3346","45799","MAST 97 tumor C","Natalie Geiger","NM_8.25.14","853344","3343497","853344-3343497","Powerplex","organoids",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"2","DY3347","45799","MAST 501F S7","Natalie Geiger","NM_8.25.14","853344","3343497","853344-3343497","Powerplex","organoids",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"3","DY3348","45799","MAST 394C S7","Natalie Geiger","NM_8.25.14","853344","3343497","853344-3343497","Powerplex","organoids",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"4","DY3349","45799","MAST 630 S7","Natalie Geiger","NM_8.25.14","853344","3343497","853344-3343497","Powerplex","organoids",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"5","DY3350","45799","MAST 394C S7","Natalie Geiger","NM_8.25.14","853344","3343497","853344-3343497","Powerplex","organoids",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"6","DY3351","45799","MAST 394C rep2","Natalie Geiger","NM_8.25.14","853344","3343497","853344-3343497","Powerplex","organoids",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"7","DY3352","45799","MAST 816 S7","Natalie Geiger","NM_8.25.14","853344","3343497","853344-3343497","Powerplex","organoids",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"8","DY3353","45799","MAST 97 S7","Natalie Geiger","NM_8.25.14","853344","3343497","853344-3343497","Powerplex","organoids",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"9","DY4307","46245","MAST 97 thawed","Natalie Geiger",NA,"880937","3485612","880937-3485612","OmniSTR mi-seq (new PPX)","DNA",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"10","DY4308","46245","MAST 191B thawed","Natalie Geiger",NA,"880937","3485612","880937-3485612","OmniSTR mi-seq (new PPX)","DNA",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"11","DY4309","46245","SKNMM tet N-MYC","Natalie Geiger",NA,"880937","3485612","880937-3485612","OmniSTR mi-seq (new PPX)","DNA",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"12","DYE 3056","03/05/20","Six3 het RNA E17-1","Dapper, Jason",NA,"186570",NA,"186570-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"13","DYE 3057","03/05/20","Six3 mut RNA E17-2","Dapper, Jason",NA,"186570",NA,"186570-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"14","DYE 3058","03/05/20","Six3 mut RNA E17-3","Dapper, Jason",NA,"186570",NA,"186570-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"15","DYE 3059","03/05/20","Six3 het RNA E17-4","Dapper, Jason",NA,"186570",NA,"186570-NA","RNA-seq Total Stranded",NA,NA,NA,NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
